customer_id,days_since_signup,monthly_revenue,subscription_plan,number_of_logins_last30days,active_features_used,support_tickets_opened,last_payment_status,churn
CUST0001,662,49,Pro,27,8,4,Success,0
CUST0002,603,49,Basic,14,4,3,Success,0
CUST0003,925,99,Basic,32,1,3,Success,0
CUST0004,301,49,Pro,12,8,2,Failed,0
CUST0005,959,199,Pro,13,10,1,Failed,0
CUST0006,129,49,Basic,6,8,5,Success,0
CUST0007,55,49,Basic,38,1,2,Success,0
CUST0008,475,199,Basic,17,3,5,Success,0
CUST0009,735,199,Enterprise,21,4,1,Success,0
CUST0010,363,99,Basic,29,10,3,Success,0
CUST0011,938,199,Basic,29,6,1,Success,0
CUST0012,678,49,Basic,4,6,0,Success,0
CUST0013,107,99,Basic,18,10,2,Failed,0
CUST0014,975,199,Pro,50,9,1,Failed,0
CUST0015,539,199,Basic,16,1,0,Failed,0
CUST0016,653,199,Basic,11,6,0,Failed,0
CUST0017,479,199,Enterprise,17,6,0,Failed,0
CUST0018,398,199,Basic,35,4,2,Failed,0
CUST0019,788,99,Basic,6,2,4,Success,0
CUST0020,389,99,Pro,39,10,2,Failed,0
CUST0021,718,99,Pro,4,1,1,Failed,0
CUST0022,467,199,Pro,50,10,4,Success,0
CUST0023,332,49,Basic,13,8,4,Success,0
CUST0024,134,199,Enterprise,25,10,2,Failed,0
CUST0025,104,199,Enterprise,31,8,1,Failed,0
CUST0026,617,99,Basic,44,1,5,Failed,1
CUST0027,749,99,Enterprise,19,9,4,Success,0
CUST0028,394,99,Pro,7,1,4,Success,0
CUST0029,560,199,Enterprise,20,5,5,Failed,1
CUST0030,42,199,Pro,50,10,0,Failed,0
CUST0031,121,199,Basic,9,7,5,Failed,1
CUST0032,986,99,Pro,4,1,3,Success,0
CUST0033,984,199,Enterprise,28,10,2,Failed,0
CUST0034,74,99,Enterprise,13,10,3,Success,0
CUST0035,143,199,Pro,26,1,5,Failed,1
CUST0036,265,199,Basic,46,3,1,Success,0
CUST0037,38,199,Basic,35,3,1,Success,0
CUST0038,865,49,Enterprise,29,2,5,Success,0
CUST0039,805,99,Enterprise,23,8,1,Failed,0
CUST0040,779,99,Enterprise,21,4,0,Success,0
CUST0041,884,99,Pro,41,2,0,Success,0
CUST0042,93,199,Pro,44,10,3,Success,0
CUST0043,793,49,Enterprise,1,7,0,Failed,1
CUST0044,200,49,Enterprise,1,9,4,Success,0
